OrderID,CustomerName,Region,Product,Quantity,UnitPrice,SalesDate,DeliveryDate,Discount
1001,Allison Hill,West,Tablet,1,300,2024-01-02,2024-01-08,0.1
1002,Noah Rhodes,South,Laptop,2,850,2024-02-17,2024-02-18,0.0
1003,Angie Henderson,East,Laptop,1,850,2024-01-06,2024-01-08,0.05
1004,Daniel Wagner,West,Tablet,2,300,2024-02-15,2024-02-21,0.15
1005,Cristian Santos,West,Mobile,5,400,2024-01-18,2024-01-25,0.0
1006,Connie Lawrence,West,Tablet,4,300,2024-01-22,2024-01-25,0.05
1007,Abigail Shaffer,North,Mobile,1,400,2024-01-06,2024-01-10,0.0
1008,Gina Moore,South,Mobile,5,400,2024-01-17,2024-01-24,0.0
1009,Gabrielle Davis,North,Tablet,1,300,2024-02-29,2024-03-04,0.0
1010,Ryan Munoz,West,Tablet,5,300,2024-02-26,2024-03-04,0.1
1011,Monica Herrera,North,Tablet,1,300,2024-01-03,2024-01-09,0.05
1012,Jamie Arnold,North,Laptop,2,850,2024-02-25,2024-02-26,0.15
1013,Lisa Hensley,West,Mobile,3,400,2024-01-11,2024-01-14,0.1
1014,Michele Williams,West,Tablet,3,300,2024-02-14,2024-02-20,0.0
1015,Dylan Miller,North,Tablet,2,300,2024-01-11,2024-01-15,0.15
1016,Brian Ramirez,East,Tablet,5,300,2024-01-15,2024-01-21,0.1
1017,Holly Wood,North,Laptop,1,850,2024-02-21,2024-02-24,0.15
1018,Derek Zuniga,West,Laptop,2,850,2024-02-28,2024-03-04,0.1
1019,Lisa Jackson,West,Tablet,4,300,2024-01-26,2024-02-01,0.15
1020,Carla Gray,South,Mobile,2,400,2024-01-16,2024-01-22,0.1
1021,Margaret Hawkins DDS,South,Tablet,4,300,2024-01-24,2024-01-26,0.05
1022,Patty Perez,West,Laptop,1,850,2024-02-25,2024-02-26,0.05
1023,Ethan Adams,South,Tablet,4,300,2024-02-08,2024-02-09,0.15
1024,Tommy Walter,East,Tablet,4,300,2024-02-03,2024-02-06,0.0
